Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2014-12-09,42.40025329589844,42.561937418052665,41.94142538259503,42.41336218857861,5989000
2014-12-10,42.6755485534668,42.92899489573107,42.1511695682427,42.15991105164093,6457800
2014-12-11,42.478355407714844,43.21021113377847,42.43891229930253,42.71938733832806,8723600
2014-12-12,42.14527893066406,42.89904759644141,42.14527893066406,42.355634298770475,8243800
2014-12-15,41.820987701416016,42.478343683303414,41.53613277390105,42.259225022674286,10152600
2014-12-16,40.84811782836914,41.816622322412904,40.74294176234504,41.78594583051059,14614400
2014-12-17,41.41343688964844,41.52737955694954,40.71225767449978,41.075995541681536,11205200
2014-12-18,42.5440788269043,42.5440788269043,41.65883758898365,42.18910433248735,18960800
2014-12-19,41.56242370605469,42.19348648461332,40.68156914504938,41.85166192738914,27002000
2014-12-22,42.04011917114258,42.04011917114258,41.6413214824159,41.68952786992102,7662200
2014-12-23,42.05764389038086,42.29429248803482,41.89111153824324,42.0707904774473,5241800
2014-12-24,42.19788360595703,42.66241422362083,42.1102341116427,42.246089991958335,2439600
2014-12-26,42.43452072143555,42.601049700257505,42.18034227206091,42.29428491203669,3144400
2014-12-29,42.64049530029297,42.79387770340483,42.33811046023985,42.33811046023985,4017800
2014-12-30,42.45643997192383,42.640502229052416,42.34250065023252,42.45643997192383,4146800
2014-12-31,42.13650894165039,42.776334875102144,42.08830258046361,42.49586332464342,4697400
2015-01-02,41.645694732666016,42.48710964015093,41.24251717409852,42.31181737537247,4985800
2015-01-05,40.97520065307617,41.43535130261755,40.813051596569345,41.417821403793596,6889200
2015-01-06,40.73415756225586,41.26004435242005,40.348509924257115,41.14610171302833,7576000
2015-01-07,41.57558059692383,41.76402280022272,40.799898577780525,41.02340057320149,7256000
2015-01-08,42.535316467285156,42.55284636264611,41.90425695171911,41.92178684708007,5978200
2015-01-09,42.066402435302734,42.50463978681309,41.89549013569255,42.478346615637875,4689000
2015-01-12,42.009429931640625,42.29866482539151,41.73334162258495,42.031343135122924,5630800
2015-01-13,41.63693618774414,42.70623316702942,41.47040383640277,42.219789386980906,6182200
2015-01-14,41.067230224609375,41.35646854075212,40.71664227764748,40.922611066538,6750400
2015-01-15,40.67280578613281,41.49231080210104,40.56762976243965,41.470397598067436,4235000
2015-01-16,40.751705169677734,40.8130581536755,40.33099756077012,40.65529238239929,8770000
2015-01-20,41.02339172363281,41.14609762610414,40.58953775604202,40.9488921890588,9403800
2015-01-21,40.97957992553711,41.251284971818826,40.76046122705908,40.80428429805749,5854000
2015-01-22,42.00505065917969,42.11899330996444,41.0014866946767,41.34769461336002,6952400
2015-01-23,42.14091110229492,42.39946957025311,41.9174090862136,42.13214448171112,6781000
2015-01-26,42.224185943603516,42.27677565160215,41.87359792074048,42.070803474632996,4964000
2015-01-27,41.41343688964844,41.82976110828744,41.24690787089008,41.76402816896588,6696800
2015-01-28,40.89192199707031,41.77277991925671,40.86562882859724,41.6325441149248,6402600
2015-01-29,41.57558059692383,41.57558059692383,40.83057506001589,41.049693745550144,6802400
2015-01-30,40.427391052246094,41.352072025635366,40.361654788342136,41.15924654311316,8106400
2015-02-02,40.282772064208984,40.62021665966036,39.77879849737613,40.615833350457216,8056600
2015-02-03,40.909446716308594,40.92697660756856,40.33097367866923,40.41862313496907,7940200
2015-02-04,40.55449295043945,40.87440440811663,40.436166969720034,40.65528568891833,7187400
2015-02-05,40.90508270263672,41.01464206707723,40.56325802054015,40.70349387328455,5754400
2015-02-06,40.225799560546875,40.96203831055899,40.11624024264915,40.93136183528703,7381800
2015-02-09,39.95409393310547,40.186359167697425,39.74374190095946,40.098713044884136,7339400
2015-02-10,40.64651870727539,40.79990112803961,39.97601602258753,40.2038979986535,7694600
2015-02-11,40.01545715332031,40.64652009862148,39.85769141699502,40.53257743494518,8541000
2015-02-12,40.31782913208008,40.60706733724826,39.79194574166436,40.08118060334749,11855800
2015-02-13,40.33536911010742,40.56763438801051,40.27401614400041,40.32660249010019,7695600
2015-02-17,40.25648880004883,40.7122561082329,40.195135830051555,40.20389910712855,7371000
2015-02-18,41.02778625488281,41.093519189554435,40.06804528684522,40.1162516679284,8143800
2015-02-19,41.06283187866211,41.30824702951045,40.966422485401644,40.966422485401644,6605200
2015-02-20,41.60187530517578,41.759641032063875,40.909459430887594,41.02340208774809,7398000
2015-02-23,41.63693618774414,41.7333489504184,41.31702141555099,41.597493083247386,4622200
2015-02-24,41.81660461425781,41.86919429674304,41.52298640989087,41.52298640989087,5239200
2015-02-25,42.43014144897461,42.596670443640654,41.816608470674076,41.816608470674076,7053600
2015-02-26,42.6279182434082,42.77735284119244,42.47848699880691,42.48288302164311,5935000
2015-02-27,42.68505096435547,42.81250878466973,42.46968946459214,42.61033199852814,7118600
2015-03-02,43.401451110839844,43.449797299319194,42.52243437948106,42.58396528242156,11025000
2015-03-03,43.05863952636719,43.27839373168442,42.68505804796451,43.265209015874674,7038400
2015-03-04,42.86085510253906,43.01468571578954,42.61473148643075,42.92678202919173,4853000
2015-03-05,43.27400207519531,43.37069447180081,42.979532215121054,43.05424784770406,6633600
2015-03-06,42.592769622802734,43.37509420303701,42.45651970994651,43.274005774349085,7174600
